更新时间,#genre#
20260207 21:28,url

RespoTime,whitelist,#genre#
0.01ms,辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
0.01ms,陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
0.01ms,宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
0.01ms,青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
0.01ms,新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
0.01ms,新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
0.01ms,西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
0.01ms,卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
0.01ms,西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
0.01ms,金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
0.01ms,哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
0.01ms,优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
0.01ms,黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
0.01ms,黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
0.01ms,超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
0.01ms,CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
0.01ms,CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
0.01ms,黑龙江｜鹤岗新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
0.01ms,黑龙江｜佳木斯新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
0.01ms,哒啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
0.01ms,金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
0.01ms,精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
0.01ms,CHC动作,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
0.01ms,NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
0.01ms,NewTV潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
0.01ms,NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
0.01ms,NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
0.01ms,NewTV海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
0.01ms,NewTV古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
0.01ms,NewTV精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
0.01ms,NewTV精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
0.01ms,NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
0.01ms,NewTV军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
0.01ms,NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
0.01ms,NewTV明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
0.01ms,NewTV农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
0.01ms,NewTV武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
0.01ms,NewTV中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
0.01ms,NewTV 炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
0.01ms,NewTV 怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
0.01ms,CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
0.01ms,CGTN英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
0.01ms,CGTN西语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
0.01ms,CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
0.01ms,CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
0.01ms,CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
0.01ms,CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
0.01ms,超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
0.01ms,睛彩青少,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
0.01ms,家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
0.01ms,CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
0.01ms,湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
0.01ms,浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
0.01ms,东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
0.01ms,北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
0.01ms,江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
0.01ms,重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
0.01ms,东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
0.01ms,深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
0.01ms,广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
0.01ms,广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
0.01ms,甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
0.01ms,黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
0.01ms,内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
0.01ms,青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
0.01ms,天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
0.01ms,云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
0.01ms,延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
0.01ms,山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
0.01ms,海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
0.01ms,陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
0.01ms,睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
0.01ms,超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
0.01ms,睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
0.01ms,超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
0.01ms,纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
54.26ms,myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7],http://65.36.6.216:1935/live/kcwx.smil/playlist.m3u8
55.58ms,WFUT-DT1 (720p) [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/wfut/wfut.isml/hls/wfut.m3u8
55.66ms,WLTV-DT1 [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/wltv/wltv.isml/hls/wltv.m3u8
55.72ms,TUDN (1080p) [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/tudn/tudn.isml/hls/tudn.m3u8
56.94ms,KMEX-DT1 [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/kmex/kmex.isml/hls/kmex.m3u8
57.30ms,WXTV-DT1,https://streaming-live-fcdn.api.prd.univisionnow.com/wxtv/wxtv.isml/hls/wxtv.m3u8
59.00ms,NBC News NOW (1080p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_5.m3u8
59.51ms,新疆衛視,https://t.freetv.fun/live/xin-jiang-wei-shi-3.m3u8
59.62ms,NBC News NOW (360p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_2.m3u8
59.70ms,Classic Arts Showcase (720p),https://classicarts.akamaized.net/hls/live/1024257/CAS/master_720p30.m3u8
59.76ms,NBC News NOW (720p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_4.m3u8
60.73ms,Bloomberg 4K,https://t.freetv.fun/live/bloomberg-ht-2.m3u8
60.74ms,Кино союз Россия,https://t.freetv.fun/live/soiuz-4.m3u8
60.87ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-6.m3u8
60.89ms,安慶新聞綜合,https://t.freetv.fun/live/rui-an-xin-wen-zong-he.m3u8
60.94ms,ALSHARQIYA NEWS,https://t.freetv.fun/live/asharq-news-1.m3u8
61.09ms,M4 Sport Channel Hungary,https://t.freetv.fun/live/m4-sport.m3u8
61.11ms,Телеканал Звезда Россия,https://t.freetv.fun/live/zvezda-4.m3u8
61.14ms,廣西國際,https://t.freetv.fun/live/yan-xi-guo-ji.m3u8
61.16ms,Premier Sports,https://t.freetv.fun/live/premier-sports-2.m3u8
61.23ms,中視新聞臺[geo-blocked],https://t.freetv.fun/live/zhong-shi-xin-wen-12.m3u8
61.25ms,AL HORRYA,https://t.freetv.fun/live/al-horreya-tv-1.m3u8
61.25ms,DM Global  (IN ) ,https://t.freetv.fun/live/zoom-global.m3u8
61.26ms,РОССИЯ 24,https://t.freetv.fun/live/rossiia-24-3.m3u8
61.27ms,Now 80s (360p),https://lightning-now80s-samsungnz.amagi.tv/playlist360p.m3u8
61.36ms,第一財經,https://t.freetv.fun/live/shang-hai-di-yi-cai-jing-3.m3u8
61.37ms,河南都市,https://t.freetv.fun/live/he-nan-du-shi-1.m3u8
61.37ms,天映經典(MAS),https://t.freetv.fun/live/tian-ying-jing-dian.m3u8
61.42ms,Bloomberg 4K,https://t.freetv.fun/live/bloomberg-tv-europe-1.m3u8
61.44ms,紹興新聞綜合,https://t.freetv.fun/live/shao-xing-xin-wen-zong-he-3-1.m3u8
61.45ms,ВРЕМЯ,https://t.freetv.fun/live/vremia.m3u8
61.49ms,ACTION 24,https://t.freetv.fun/live/action-24.m3u8
61.51ms,НСТ,https://t.freetv.fun/live/nst.m3u8
61.55ms,CGTN(Spain),https://t.freetv.fun/live/cgtn-8.m3u8
61.58ms,廣州競賽,https://t.freetv.fun/live/yan-zhou-jing-sai-1.m3u8
61.64ms,Quảng Ninh QTV1,https://t.freetv.fun/live/quang-ngai-tv1.m3u8
61.65ms,廣西國際,https://t.freetv.fun/live/yan-xi-guo-ji-1.m3u8
61.65ms,雲南都市,https://t.freetv.fun/live/yun-nan-du-shi-1.m3u8
61.66ms,QPVN Việt Nam,https://t.freetv.fun/live/qpvn.m3u8
61.67ms,陝西衛視,https://t.freetv.fun/live/shan-xi-wei-shi-3-1.m3u8
61.67ms,Живи,https://t.freetv.fun/live/zhivi-1.m3u8
61.69ms,浙江新聞,https://t.freetv.fun/live/zhe-jiang-xin-wen-11.m3u8
61.70ms,江西衛視,https://t.freetv.fun/live/jiang-xi-wei-shi-8.m3u8
61.72ms,廣西衛視,https://t.freetv.fun/live/yan-xi-wei-shi-9.m3u8
61.72ms,河北農民,https://t.freetv.fun/live/he-bei-nong-min.m3u8
61.76ms,РЕН ТВ,https://t.freetv.fun/live/ren-tv-7.m3u8
61.78ms,Popc[geo-blocked],https://t.freetv.fun/live/popc.m3u8
61.80ms,雲南衛視,https://t.freetv.fun/live/yun-nan-wei-shi-3.m3u8
61.80ms,Мультимания,https://t.freetv.fun/live/multimaniia.m3u8
61.83ms,Музыка Первого,https://t.freetv.fun/live/muzyka-pervogo.m3u8
61.87ms,蘇州文化生活,https://t.freetv.fun/live/su-zhou-wen-hua-sheng-huo.m3u8
61.90ms,東南衛視,https://t.freetv.fun/live/dong-nan-wei-shi-13.m3u8
61.91ms,Fuel TV Portugal,https://t.freetv.fun/live/fuel-tv-1.m3u8
61.95ms,History(USA),https://t.freetv.fun/live/history.m3u8
61.97ms,Музыка Первого,https://t.freetv.fun/live/muzyka-1.m3u8
61.97ms,K+1 HD,https://t.freetv.fun/live/ch-ng-xy-plus-1.m3u8
61.98ms,California Music Channel,https://t.freetv.fun/live/california-music-channel-1.m3u8
62.02ms,STAR SPORTS 4,https://t.freetv.fun/live/star-sports-3.m3u8
62.04ms,重慶新聞,https://t.freetv.fun/live/zhong-qing-xin-wen.m3u8
62.04ms,ASIA PLUS,https://t.freetv.fun/live/aniplus-asia.m3u8
62.06ms,湖南衛視,https://t.freetv.fun/live/hu-nan-wei-shi-9.m3u8
62.07ms,КИНОХИТ,https://t.freetv.fun/live/kinokhit-2.m3u8
62.09ms,河南民生,https://t.freetv.fun/live/he-nan-min-sheng-2.m3u8
62.09ms,Кино ТВ,https://t.freetv.fun/live/kino-tv.m3u8
62.10ms,浙江錢江都市,https://t.freetv.fun/live/zhe-jiang-qian-jiang-du-shi-3.m3u8
62.11ms,中天新聞FHD[geo-blocked],https://t.freetv.fun/live/zhong-tian-xin-wen-22.m3u8
62.13ms,廣東體育HD,https://t.freetv.fun/live/yan-dong-ti-yu-23.m3u8
62.18ms,24 Канал,https://t.freetv.fun/live/4-kanal-1.m3u8
62.19ms,河南民生,https://t.freetv.fun/live/he-nan-min-sheng.m3u8
62.20ms,河南衛視,https://t.freetv.fun/live/he-nan-wei-shi-3.m3u8
62.21ms,廣東珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-2.m3u8
62.21ms,НИКА ТВ,https://t.freetv.fun/live/nika-tv-1.m3u8
62.22ms,廣東新聞,https://t.freetv.fun/live/yan-dong-xin-wen-1.m3u8
62.23ms,荊州新聞綜合,https://t.freetv.fun/live/jing-men-xin-wen-zong-he.m3u8
62.24ms,RTP Acores,https://t.freetv.fun/live/rtp-acores-1.m3u8
62.25ms,7 канал (Одесса),https://t.freetv.fun/live/piatyi-kanal-2.m3u8
62.26ms,澳視澳門,https://t.freetv.fun/live/ao-shi-ao-men-5.m3u8
62.27ms,廣州綜合頻道,https://t.freetv.fun/live/yan-zhou-zong-he-8.m3u8
62.27ms,揭陽新聞綜合,https://t.freetv.fun/live/song-yang-xin-wen-zong-he.m3u8
62.28ms,廣東新聞,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing.m3u8
62.31ms,浙江衛視,https://t.freetv.fun/live/zhe-jiang-wei-shi-14.m3u8
62.33ms,ESPN 3,https://t.freetv.fun/live/espn-brasil-3.m3u8
62.34ms,浙江國際,https://t.freetv.fun/live/zhe-jiang-guo-ji-4.m3u8
62.34ms,湖南電視劇,https://t.freetv.fun/live/hu-nan-dian-shi-ju.m3u8
62.34ms,Disney Channel(IN),https://t.freetv.fun/live/disney-channel-1.m3u8
62.34ms,РИА НОВОСТИ,https://t.freetv.fun/live/360-novosti.m3u8
62.34ms,CBS,https://t.freetv.fun/live/wbz-cbs.m3u8
62.35ms,Animal Planet,https://t.freetv.fun/live/animal-planet-2.m3u8
62.35ms,NBC News NOW (240p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_6.m3u8
62.36ms,Euronews EN,https://t.freetv.fun/live/euronews-de-1.m3u8
62.36ms,Black News Channel,https://t.freetv.fun/live/black-3.m3u8
62.38ms,Trace Urban,https://t.freetv.fun/live/trace-urban-4.m3u8
62.39ms,重慶衛視,https://t.freetv.fun/live/zhong-qing-wei-shi-2.m3u8
62.44ms,湖北衛視,https://t.freetv.fun/live/hu-bei-wei-shi-1.m3u8
62.44ms,МУЗ ТВ,https://t.freetv.fun/live/muztv-3.m3u8
62.45ms,FOX SPORTS HD,https://t.freetv.fun/live/x-sports.m3u8
62.46ms,МИР 24,https://t.freetv.fun/live/mir-24.m3u8
62.47ms,НИКА ТВ,https://t.freetv.fun/live/nika-tv-2.m3u8
62.51ms,ТНТ,https://t.freetv.fun/live/tnt4-2.m3u8
62.52ms,西寧生活服務,https://t.freetv.fun/live/xi-zhu-sheng-huo-fu-wu.m3u8
62.52ms,11 канал,https://t.freetv.fun/live/10-kanal-1.m3u8
62.53ms,Бобер,https://t.freetv.fun/live/bober-1-1.m3u8
62.58ms,ПРОСВЕЩЕНИЕ,https://t.freetv.fun/live/prosveshchenie.m3u8
62.58ms,Bloomberg 4K,https://t.freetv.fun/live/bloomberg-tv-plus-1080p.m3u8
62.58ms,ESPN2,https://t.freetv.fun/live/espn2.m3u8
62.59ms,9 ВОЛНА,https://t.freetv.fun/live/9-volna.m3u8
62.61ms,History Channel  (UK),https://t.freetv.fun/live/history-hit-channel.m3u8
62.61ms,广东珠江,https://stream1.freetv.fun/967c330a56e8f2fed10ea053ac29b132d29e323680b5e20a53e3af6bcf7b2f54.m3u8
62.62ms,Русский Роман,https://t.freetv.fun/live/russkii-roman-2.m3u8
62.63ms,TVB Plus,https://t.freetv.fun/live/tvb-plus.m3u8
62.66ms,Euronews English,https://t.freetv.fun/live/euronews-english.m3u8
62.67ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-18.m3u8
62.68ms,浙江錢江都市,https://t.freetv.fun/live/zhe-jiang-qian-jiang.m3u8
62.69ms,大灣區衛視,https://t.freetv.fun/live/da-wan-qu-wei-shi.m3u8
62.70ms,Россия 1 ,https://t.freetv.fun/live/rossiia-1-10.m3u8
62.70ms,MOMO親子臺,https://t.freetv.fun/live/momoqin-zi-8.m3u8
62.71ms,鎮江新聞綜合,https://t.freetv.fun/live/zhen-jiang-xin-wen-zong-he.m3u8
62.73ms,VTV3,https://t.freetv.fun/live/vtv3.m3u8
62.74ms,FOX SPORTS HD,https://t.freetv.fun/live/fox-sports.m3u8
62.75ms,CGTN Français,https://t.freetv.fun/live/cgtn-francais-2.m3u8
62.75ms,新鄉新聞綜合,https://t.freetv.fun/live/xin-xiang-zong-he.m3u8
62.76ms,深圳衛視,https://t.freetv.fun/live/shen-zhen-wei-shi-2.m3u8
62.77ms,廣東民生,https://t.freetv.fun/live/yan-dong-min-sheng-gao-qing.m3u8
62.78ms,河南衛視,https://t.freetv.fun/live/he-nan-wei-shi-8.m3u8
62.78ms,CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
62.79ms,ОТР,https://t.freetv.fun/live/otr.m3u8
62.80ms,EURO SPORT,https://t.freetv.fun/live/euro-d-2.m3u8
62.81ms,廣東新聞,https://t.freetv.fun/live/yan-dong-xin-wen-18.m3u8
62.83ms,Al Arabiya,https://t.freetv.fun/live/al-arabiya-1.m3u8
62.84ms,金華新聞綜合,https://t.freetv.fun/live/jin-hua-xin-wen-zong-he.m3u8
62.85ms,Al Jazeera Mubasher (Arabic),https://t.freetv.fun/live/al-jazeera-mubasher-1.m3u8
62.85ms,CBC Television,https://t.freetv.fun/live/rockola-television.m3u8
62.85ms,FOX Sports 2,https://t.freetv.fun/live/ch-ng-fox-sports-2.m3u8
62.85ms,VEVO 1,https://t.freetv.fun/live/vevo-latino.m3u8
62.86ms,蘭州新聞綜合,https://t.freetv.fun/live/lan-xi-xin-wen-zong-he-1.m3u8
62.86ms,陝西衛視,https://t.freetv.fun/live/shan-xi-wei-shi-8.m3u8
62.86ms,Astro TVS,https://t.freetv.fun/live/tvs.m3u8
62.87ms,CGNTv (Japan),https://t.freetv.fun/live/cgntv-japan-1.m3u8
62.87ms,CNN HD,https://t.freetv.fun/live/cnn-4.m3u8
62.88ms,深圳電視劇,https://t.freetv.fun/live/shen-zhen-dian-shi.m3u8
62.88ms,Россия 1 ,https://t.freetv.fun/live/rossiia-1-6.m3u8
62.89ms,КИНОКОМЕДИЯ,https://t.freetv.fun/live/kinokomediia-2.m3u8
62.89ms,ОТР,https://t.freetv.fun/live/otr-4.m3u8
62.89ms,好訊息 2[geo-blocked],https://t.freetv.fun/live/hao-xiao-xi-2-1.m3u8
62.90ms,廣州綜合,https://t.freetv.fun/live/yan-zhou-zong-he-3.m3u8
62.90ms,КИНОКОМЕДИЯ,https://t.freetv.fun/live/kinokomediia.m3u8
62.90ms,Red Bull TV,https://t.freetv.fun/live/ch-ng-red-bull-tv-1.m3u8
62.91ms,Россия 1 ,https://t.freetv.fun/live/rossiia-1-9.m3u8
62.92ms,哈爾濱生活,https://t.freetv.fun/live/ha-er-bin-sheng-huo-3.m3u8
62.92ms,CANAL SAVOIR,https://t.freetv.fun/live/canal-savoir.m3u8
62.92ms,C-SPAN 1,https://t.freetv.fun/live/c-span.m3u8
62.93ms,龍華戲劇,https://t.freetv.fun/live/long-hua-xi-ju-1.m3u8
62.93ms,Bally Sports,https://t.freetv.fun/live/ch-ng-bally-sports-sun.m3u8
62.94ms,FS1,https://t.freetv.fun/live/fs1.m3u8
62.94ms,MAX,https://t.freetv.fun/live/tv-max-1.m3u8
62.97ms,海南文旅,https://t.freetv.fun/live/hai-nan-wen-lu-2.m3u8
